,"2018","1","1","","","2","1","2","2","","","1","","1","2","","1"
,"2017","2","1","","","","9","2","4","","1","","","1","8","1",""
"Auto Dealership New/Used","2021","","","","","","","","2","2","","","","1","1","2","3"
,"2020","","","","","","2","4","1","","","","","1","3","","1"
,"2019","","","","","","","","1","2","","","","1","5","2","5"
,"2018","1","1","","","","2","1","2","2","","","","2","4","1","2"
,"2017","1","","","","","","","","","1","","","2","6","6","1"
"Gambling Facility/Casino/Race Track","2021","","","","","","","","","","","","","","","",""
,"2020","","","","","","1","","","","","","","","","",""
,"2019","","","","","","","","","","","","","","","",""
,"2018","","","","","","","","","","","","","","","",""
,"2017","","","","","","","","","","","","","","","1",""
"Shopping Mall","2021","","","","","","","","","1","","","","","","",""
,"2020","","","","","","","","","","","","","","","",""
,"2019","3","1","","","","","","","1","","","","","","",""
,"2018","1","","","","","","","","1","","","","1","","",""
,"2017","1","","","","","","","","","","","","","","",""
"Daycare Facility","2021","","","","","","","1","","","","","","","","",""
,"2020","","","","","","","","","","","","","","","",""
,"2019","","","","","","","","","","","","","","","",""
,"2018","","","","","1","1","","","","","","","1","","","1"
,"2017","","","","","","","","","","","","","","2","",""
"School – College/University","2021","1","","","","","","","","","","","","","","",""
,"2020","","","","","","","","","","","","","1","","",""
,"2019","","","","","","1","1","1","1","","","","","1","1",""
,"2018","1","","","","","","","","","","","","","","1","1"
,"2017","","1","","","","","","1","2","","","","","","1","1"
"School – Elementary/Secondary","2021","","","","","4","18","7","2","2","1","","","1","13","16","1"
,"2020","1","","","","1","9","3","1","2","1","","","2","4","4","5"
,"2019","","","","","5","19","11","10","1","2","","","9","18","14","7"
,"2018","3","","","","7","22","19","7","3","","","","5","10","3","7"
,"2017","2","1","","","16","20","16","2","9","","","","8","13","16","4"
"Church/Synagogue/Temple/Mosque","2021","","1","","","","","1","","1","","","","","1","1","1"
,"2020","3","1","1","","","1","1","1","1","","","","1","2","1","1"
,"2019","1","","","","1","3","1","1","3","1","","","1","2","3",""
,"2018","4","1","1","","1","4","3","","1","2","5","","2","3","3","3"
,"2017","4","","","1","","6","1","","1","1","","","","2","4","1"
"Government/Public Building","2021","","","","","","","3","","2","","1","","","1","1",""
,"2020","1","","","","","5","4","3","3","2","","1","1","1","8","1"
,"2019","2","1","","","2","14","6","4","1","1","1","","","8","6","8"
,"2018","","","","","1","8","5","4","3","","","","1","10","7","8"
,"2017","2","2","1","","3","7","11","5","1","4","1","","2","6","11","2"
"Arena/Stadium/Fairgrounds/Coliseum","2021","2","1","1","","","","","","","1","","","","2","",""
,"2020","","","","","","","","","","","","","","","",""
,"2019","","2","","","","","1","2","","","","","1","1","",""
,"2018","","1","","","","","","","","","","","","","","1"
,"2017","2","1","","","","","","","","5","","","","","",""
"Park/Playground","2021","5","","","","3","","4","3","13","2","1","1","2","3","5","6"
,"2020","3","1","3","","","5","1","3","5","","3","","","3","3","2"
,"2019","1","1","","1","","1","12","3","3","4","1","","","3","7","9"
,"2018","9","2","1","1","1","2","1","8","5","7","3","","4","1","5","10"
,"2017","2","1","1","","2","5","8","2","10","3","4","","1","6","5","7"
"Shelter – Mission/Homeless","2021","1","1","1","","1","7","2","1","4","2","1","2","4","1","","3"
,"2020","3","3","1","1","4","5","2","3","11","12","5","","7","3","4",""
,"2019","3","1","","","","1","3","6","9","3","1","1","3","5","4","1"
,"2018","","","","1","4","1","4","5","5","","","1","8","7","3","3"
,"2017","1","1","","2","5","8","7","3","2","2","1","1","7","9","5","4"
"Community Center","2021","","","","","","","","1","2","","","","","1","2",""
,"2020","1","1","","","","2","","1","","","","1","","3","",""
,"2019","1","","1","","","","3","3","4","","","","","1","3",""
,"2018","","1","","","","5","4","1","3","","","","","3","4","2"
,"2017","1","","","","1","2","2","","","","","","2","1","3",""
"Road/Parking/Camps","2021","173","93","92","44","151","201","193","198","176","156","163","59","178","265","281","258"
,"2020","169","124","64","43","126","172","173","162","194","136","111","52","150","216","220","214"
,"2019","114","90","82","31","103","173","144","156","142","152","172","50","116","176","190","175"
,"2018","127","100","75","46","97","163","141","161","191","141","134","58","118","175","179","164"
,"2017","153","128","90","39","90","145","186","168","196","144","159","68","104","182","168","177"
